half_spread,taker_fee_rate,trades,event_groups,hit_rate,total_strategy_pnl,total_favorite_pnl,total_excess_pnl,mean_strategy_pnl,mean_excess_pnl,deployed_capital,return_on_deployed,long_yes_share,weeks,weekly_sharpe,weekly_sortino,information_ratio
0.0,0.0,348,300,0.5977011494252874,102.1742339428954,2.5064493307943283,99.66778461210106,0.2936041205255615,0.2864016799198306,348.0,0.2936041205255615,0.8936781609195402,21,1.7653194191555142,4.045174179355274,1.6087465770324485
0.0,0.005,348,300,0.5977011494252874,99.9345611372094,0.7626361500441479,99.17192498716526,0.28716827912991205,0.28497679594013003,348.0,0.28716827912991205,0.8936781609195402,21,1.726906289307704,3.957151694969466,1.6087465770324487
0.0,0.01,348,300,0.5977011494252874,97.71706330979741,-0.9639115536689973,98.68097486346642,0.28079615893619947,0.28356601972260465,348.0,0.28079615893619947,0.8936781609195402,21,1.6884931594598933,3.8691292105836532,1.6087465770324485
0.0,0.015,348,300,0.5977011494252874,95.52141275162111,-2.6734489351779653,98.19486168679909,0.27448681825178484,0.2821691427781583,348.0,0.27448681825178484,0.8936781609195402,21,1.6500800296120837,3.7811067261978453,1.6087465770324483
0.0,0.02,348,300,0.5977011494252874,93.3472881793092,-4.366226146280077,97.71351432558929,0.26823933384858967,0.2807859607057163,348.0,0.26823933384858967,0.8936781609195402,21,1.6116668997642731,3.6930842418120355,1.6087465770324483
0.0,0.03,348,300,0.5977011494252874,89.06236305135474,-7.702476377869587,96.76483942922431,0.2559263306073412,0.27805988341731125,348.0,0.2559263306073412,0.8936781609195402,21,1.5348406400686527,3.0591798285251013,1.6087465770324483
0.0,0.05,348,300,0.5977011494252874,80.73736565990035,-14.18433397067208,94.92169963057243,0.23200392431005848,0.272763504685553,348.0,0.23200392431005848,0.8936781609195402,21,1.3811881206774121,2.7529260874834773,1.608746577032449
0.01,0.0,329,282,0.5805471124620061,54.16341511229411,-1.8532704946869392,56.016685606981056,0.16463044107080277,0.1702634820880883,329.0,0.16463044107080277,0.9088145896656535,21,1.3485248209304113,2.869928523607349,1.3266346969722695
0.01,0.005,329,282,0.5805471124620061,52.2571294649693,-3.480866163867568,55.73799562883686,0.15883625977194318,0.16941640008765005,329.0,0.15883625977194318,0.9088145896656535,21,1.3109689344304976,2.7900021416657115,1.3266346969722698
0.01,0.01,329,282,0.5805471124620061,50.36971793296446,-5.092347024442531,55.462064957406994,0.15309944660475522,0.16857770503771122,329.0,0.15309944660475522,0.9088145896656535,21,1.2734130479305823,2.7100757597240697,1.3266346969722702
0.01,0.015,329,282,0.5805471124620061,48.50090158846716,-6.687951226292517,55.18885281475967,0.14741915376433787,0.16774727299319048,329.0,0.14741915376433787,0.9088145896656535,21,1.2358571614306686,2.630149377782432,1.3266346969722698
0.01,0.02,329,282,0.5805471124620061,46.65040697283736,-8.267912249693083,54.918319222530435,0.14179455006941447,0.16692498243930223,329.0,0.14179455006941447,0.9088145896656535,21,1.1983012749307536,2.5502229958407914,1.3266346969722695
0.01,0.03,329,282,0.5805471124620061,43.00331564300399,-11.381816014259167,54.38513165726316,0.13070916608815802,0.16530435154183332,329.0,0.13070916608815802,0.9088145896656535,21,1.1231895019309246,2.390370231957513,1.3266346969722695
